id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,2,oa,front
70,2,oa,back
71,2,oa,up
72,2,oa,left
73,2,oa,right
74,7,usd,spiWrBps
75,7,usd,spiReBps
76,7,usd,fatWrBps
77,3,motor,m1
78,3,motor,m2
79,3,motor,m3
80,3,motor,m4
81,6,motor,m1req
82,6,motor,m2req
83,6,motor,m3req
84,6,motor,m4req
85,7,pm,vbat
86,2,pm,vbatMV
87,7,pm,extVbat
88,2,pm,extVbatMV
89,7,pm,extCurr
90,7,pm,chargeCurrent
91,4,pm,state
92,1,pm,batteryLevel
93,1,radio,rssi
94,1,radio,isConnected
95,2,radio,numRxBc
96,2,radio,numRxUc
97,5,gyro,xRaw
98,5,gyro,yRaw
99,5,gyro,zRaw
100,7,gyro,xVariance
101,7,gyro,yVariance
102,7,gyro,zVariance
103,7,gyro,x
104,7,gyro,y
105,7,gyro,z
106,3,colAv,latency
107,7,ext_pos,X
108,7,ext_pos,Y
109,7,ext_pos,Z
110,7,locSrv,x
111,7,locSrv,y
112,7,locSrv,z
113,7,locSrv,qx
114,7,locSrv,qy
115,7,locSrv,qz
116,7,locSrv,qw
117,2,locSrvZ,tick
118,2,crtp,rxRate
119,2,crtp,txRate
120,7,extrx,thrust
121,7,extrx,roll
122,7,extrx,pitch
123,7,extrx,rollRate
124,7,extrx,pitchRate
125,7,extrx,yawRate
126,7,extrx,zVel
127,1,extrx,AltHold
128,1,extrx,Arm
129,2,extrx_raw,ch0
130,2,extrx_raw,ch1
131,2,extrx_raw,ch2
132,2,extrx_raw,ch3
133,2,extrx_raw,ch4
134,2,extrx_raw,ch5
135,2,extrx_raw,ch6
136,2,extrx_raw,ch7
137,7,health,motorVarXM1
138,7,health,motorVarYM1
139,7,health,motorVarXM2
140,7,health,motorVarYM2
141,7,health,motorVarXM3
142,7,health,motorVarYM3
143,7,health,motorVarXM4
144,7,health,motorVarYM4
145,1,health,motorPass
146,7,health,batterySag
147,1,health,batteryPass
148,2,health,motorTestCount
149,3,memTst,errCntW
150,2,range,front
151,2,range,back
152,2,range,up
153,2,range,left
154,2,range,right
155,2,range,zrange
156,7,sensfusion6,qw
157,7,sensfusion6,qx
158,7,sensfusion6,qy
159,7,sensfusion6,qz
160,7,sensfusion6,gravityX
161,7,sensfusion6,gravityY
162,7,sensfusion6,gravityZ
163,7,sensfusion6,accZbase
164,1,sensfusion6,isInit
165,1,sensfusion6,isCalibrated
166,7,acc,x
167,7,acc,y
168,7,acc,z
169,7,baro,asl
170,7,baro,temp
171,7,baro,pressure
172,5,controller,ctr_yaw
173,7,controller,cmd_thrust
174,7,controller,cmd_roll
175,7,controller,cmd_pitch
176,7,controller,cmd_yaw
177,7,controller,r_roll
178,7,controller,r_pitch
179,7,controller,r_yaw
180,7,controller,accelz
181,7,controller,actuatorThrust
182,7,controller,roll
183,7,controller,pitch
184,7,controller,yaw
185,7,controller,rollRate
186,7,controller,pitchRate
187,7,controller,yawRate
188,4,ctrlMode,x
189,4,ctrlMode,y
190,4,ctrlMode,z
191,4,ctrlMode,roll
192,4,ctrlMode,pitch
193,4,ctrlMode,yaw
194,4,ctrlMode,quat
195,7,ctrltarget,x
196,7,ctrltarget,y
197,7,ctrltarget,z
198,7,ctrltarget,vx
199,7,ctrltarget,vy
200,7,ctrltarget,vz
201,7,ctrltarget,ax
202,7,ctrltarget,ay
203,7,ctrltarget,az
204,7,ctrltarget,roll
205,7,ctrltarget,pitch
206,7,ctrltarget,yaw
207,5,ctrltargetZ,x
208,5,ctrltargetZ,y
209,5,ctrltargetZ,z
