id,type,readonly,group,name
0,8,1,imu_sensors,BMP388
1,8,1,imu_sensors,HMC5883L
2,8,1,imu_sensors,MS5611
3,8,1,imu_tests,MPU6500
4,8,1,imu_tests,HMC5883L
5,8,1,imu_tests,MS5611
6,9,1,cpu,flash
7,10,1,cpu,id0
8,10,1,cpu,id1
9,8,1,deck,bcFlow
10,8,1,deck,bcFlow2
11,8,0,sound,effect
12,10,1,sound,neffect
13,9,0,sound,freq
14,8,0,sound,ratio
15,8,0,system,taskDump
16,8,0,commander,enHighLevel
17,8,0,flightmode,althold
18,8,0,flightmode,poshold
19,8,0,flightmode,posSet
20,8,0,flightmode,yawMode
21,8,0,flightmode,yawRst
22,8,0,flightmode,stabModeRoll
23,8,0,flightmode,stabModePitch
24,8,0,flightmode,stabModeYaw
25,6,0,cmdrCPPM,rateRoll
26,6,0,cmdrCPPM,ratePitch
27,6,0,cmdrCPPM,rateYaw
28,6,0,cmdrCPPM,angRoll
29,6,0,ring,emptyCharge
30,8,0,locSrv,enRangeStreamFP32
31,6,0,pid_attitude,roll_kp
32,6,0,pid_attitude,roll_ki
33,6,0,pid_attitude,roll_kd
34,6,0,pid_attitude,pitch_kp
35,6,0,pid_attitude,pitch_ki
36,6,0,pid_attitude,pitch_kd
37,6,0,pid_attitude,yaw_kp
38,6,0,pid_attitude,yaw_ki
39,6,0,pid_attitude,yaw_kd
40,6,0,pid_rate,roll_kp
41,6,0,pid_rate,roll_ki
42,6,0,pid_rate,roll_kd
43,6,0,pid_rate,pitch_kp
44,6,0,pid_rate,pitch_ki
45,6,0,pid_rate,pitch_kd
46,6,0,pid_rate,yaw_kp
47,8,0,usd,logging
48,6,0,pid_rate,yaw_kd
49,6,0,sensfusion6,kp
50,6,0,sensfusion6,ki
51,6,0,sensfusion6,baseZacc
52,8,0,health,startPropTest
53,8,0,stabilizer,estimator
54,8,0,stabilizer,controller
55,6,0,posEstAlt,estAlphaAsl
56,6,0,posEstAlt,estAlphaZr
57,6,0,posEstAlt,velFactor
58,6,0,posEstAlt,velZAlpha
59,6,0,posEstAlt,vAccDeadband
60,6,0,posCtlPid,xKp
61,6,0,posCtlPid,xKi
62,6,0,posCtlPid,xKd
63,6,0,posCtlPid,yKp
64,6,0,posCtlPid,yKi
65,6,0,posCtlPid,yKd
66,6,0,imu_tests,imuTheta
67,6,0,posCtlPid,zKi
68,6,0,posCtlPid,zKd
69,9,0,posCtlPid,thrustBase
70,9,0,posCtlPid,thrustMin
71,6,0,posCtlPid,rpLimit
72,6,0,posCtlPid,xyVelMax
73,6,0,posCtlPid,zVelMax
74,6,0,velCtlPid,vxKp
75,6,0,velCtlPid,vxKi
76,6,0,velCtlPid,vxKd
77,6,0,velCtlPid,vyKp
78,6,0,velCtlPid,vyKi
79,6,0,velCtlPid,vyKd
80,6,0,velCtlPid,vzKp
81,6,0,velCtlPid,vzKi
82,6,0,velCtlPid,vzKd
83,8,0,controller,tiltComp
84,6,0,colAv,vorTol
85,2,0,colAv,vorIters
86,6,0,ctrlMel,ki_xy
87,6,0,ctrlMel,i_range_xy
88,6,0,ctrlMel,kp_z
89,6,0,ctrlMel,kd_z
90,6,0,ctrlMel,ki_z
91,6,0,ctrlMel,i_range_z
92,6,0,ctrlMel,mass
93,6,0,ctrlMel,massThrust
94,6,0,ctrlMel,kR_xy
95,6,0,ctrlMel,kR_z
96,6,0,ctrlMel,kw_xy
97,6,0,ctrlMel,kw_z
98,6,0,ctrlMel,ki_m_xy
99,6,0,ctrlMel,ki_m_z
100,6,0,ctrlMel,kd_omega_rp
101,6,0,ctrlMel,i_range_m_xy
102,6,0,ctrlMel,i_range_m_z
103,8,0,motorPowerSet,enable
104,6,0,locSrv,extPosStdDev
105,6,0,locSrv,extQuatStdDev
106,9,0,motorPowerSet,m3
107,9,0,motorPowerSet,m4
108,8,0,kalman,resetEstimation
109,8,0,kalman,quadIsFlying
110,6,0,kalman,pNAcc_xy
111,6,0,kalman,pNAcc_z
112,6,0,kalman,pNVel
113,6,0,kalman,pNPos
114,6,0,kalman,pNAtt
115,6,0,kalman,pNSkew
116,6,0,kalman,mNBaro
117,6,0,kalman,pNAcc_z
118,6,0,kalman,pNVel
119,6,0,kalman,initialX
120,6,0,kalman,initialY
121,6,0,kalman,initialZ
122,8,1,deck,bcRZR
123,8,1,deck,bcLedRing
124,8,0,ring,effect
125,10,1,ring,neffect
126,8,0,ring,solidRed
127,8,0,ring,solidGreen
128,8,0,ring,solidBlue
129,8,0,ring,headlightEnable
130,6,0,ring,glowstep
131,6,0,ring,emptyCharge
132,6,0,quadSysId,pwmToThrustB
133,10,0,ring,fadeColor
134,6,0,ring,fadeTime
135,8,1,deck,bcBuzzer
136,8,1,deck,bcGTGPS
137,8,1,deck,bcCPPM
138,8,1,deck,bcUSD
139,8,1,deck,bcZRanger
140,8,1,deck,bcZRanger2
141,8,1,deck,bcDWM1000
142,8,0,loco,mode
143,8,0,tdoa3,logId
144,8,0,tdoa3,logOthrId
145,8,1,deck,bcFlow
146,10,1,cpu,id1
147,8,0,motion,disable
148,8,1,deck,bcOA
149,8,1,deck,bcMultiranger
150,10,1,firmware,revision0
151,9,1,firmware,revision1
152,8,1,firmware,modified
